"verb","translation_simple","translation_details","comment","Score1","Score_comment1","Score2","Score_comment2","Agreed"
"squeeze","trycka, vrida","","",1,"",1,"",1
"stab","hugga","","",1,"",0.5,"",0
"stab","hugga med en kniv till exempel","","",1,"",1,"",1
"stab","jag vet inte","","",0,"",0,"",1
"stab","knivhugga","","",1,"",1,"",1
"stagger","avvakta","","",0,"",0,"",1
"stagger","hacka, hugga","nånting med hacka eller hugga tror jag","",0,"",0,"",1
"stagger","jag vet inte","","",0,"",0,"",1
"stagger","kämpa","","",0,"",0,"",1
"stagger","pula, påla","","",0,"",0,"",1
"stagger","stappla","kanske","",1,"",1,"",1
"stagger","vackla","typ","",1,"",1,"",1
"stamp","frankera","","",-99,"correct but not the meaning we were looking for",-99,"korrekt men inte den benrelaterade betydelsen vi menar",1
"stamp","jag vet inte","","",0,"",0,"",1
"stamp","stampa",""" jag tänkte stampa men det kan ju vara stämpla, då är det ju fel""","",1,"",1,"",1
"stamp","stampa","kanske jag vet inte","",1,"",1,"",1
"stamp","stampa","","",1,"",1,"",1
"stamp","stämpla","om jag inte har helt fel","",-99,"correct but not the meaning we were looking for",-99,"korrekt men inte den benrelaterade betydelsen vi menar",1
"stamp","stämpla","","",-99,"correct but not the meaning we were looking for",-99,"korrekt men inte den benrelaterade betydelsen vi menar",1
"stand","stå","","",1,"",1,"",1
"stand","stå, stå upp","","",1,"",1,"",1
"step","gå","","",1,"",1,"",1
"step","gå, ta steg, stega","","",1,"",1,"",1
"step","kliva","","",1,"",1,"",1
"step","kliva, ta ett steg","","",1,"",1,"",1
"step","steg","","",-99,"noun instead of verb",-99,"inget verb, annars korrekt",1
