word,target,distrOne,distrTwo,corrAns,w1,w2,w3,category,category_lowercase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ArmLeg_loop.thisRepN,ArmLeg_loop.thisTrialN,ArmLeg_loop.thisN,ArmLeg_loop.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_3.keys,key_resp_3.rt,key_resp_6.keys,key_resp_6.rt,key_resp_5.keys,key_resp_5.rt,key_resp_4.keys,key_resp_4.rt,key_resp_8.keys,key_resp_8.rt,rating.response,rating.rt,answer.keys,answer.corr,answer.rt,date,frameRate,expName,session,participant,
WANDER,vandra,marschera,spatsera,3,marschera,spatsera,vandra,,,0,27,27,106,,,,,,,,,,,,,,,,,,,3,1,2.46615865199,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
FOLD,vika ihop,knyta ihop,bunta ihop,3,bunta ihop,knyta ihop,vika ihop,Arm,arm,0,28,28,24,0,0,0,0,,,,,,,,,,,,,7,8.085,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
FOLD,vika ihop,knyta ihop,bunta ihop,3,bunta ihop,knyta ihop,vika ihop,Leg,leg,0,28,28,24,0,1,1,1,,,,,,,,,,,,,3,6.33,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
FOLD,vika ihop,knyta ihop,bunta ihop,3,bunta ihop,knyta ihop,vika ihop,,,0,28,28,24,,,,,,,,,,,,,,,,,,,3,1,3.17062599915,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
PINCH,nypa,plocka,pensla,1,nypa,plocka,pensla,Arm,arm,0,29,29,48,0,0,0,0,,,,,,,,,,,,,7,11.604,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
PINCH,nypa,plocka,pensla,1,nypa,plocka,pensla,Leg,leg,0,29,29,48,0,1,1,1,,,,,,,,,,,,,1,4.816,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
PINCH,nypa,plocka,pensla,1,nypa,plocka,pensla,,,0,29,29,48,,,,,,,,,,,,,,,,,,,1,1,4.99845627915,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
KNEEL,knäböja,krypa,kräla,3,kräla,krypa,knäböja,Arm,arm,0,30,30,37,0,0,0,0,,,,,,,,,,,,,1,4.642,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
KNEEL,knäböja,krypa,kräla,3,kräla,krypa,knäböja,Leg,leg,0,30,30,37,0,1,1,1,,,,,,,,,,,,,7,3.255,,,,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
KNEEL,knäböja,krypa,kräla,3,kräla,krypa,knäböja,,,0,30,30,37,,,,,,,,,,,,,,,,,,,3,1,3.06993762688,2018_Jun_19_1101,59.6362770948,verb_norming,001,910,
