"expName","date","participant","trial","resp_time","our_transl","verb","ppt_translation","score","comment","type"
"verb_norming_oral_input","2018_Jun_14_1448",906,35,4.29379000742,"snubbla","trip","snubbla",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,36,6.5747725052,"rusa","rush","skynda sig",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,37,3.38816256588,"borsta","brush","borsta",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,38,1.59241735373,"hacka","chop","hacka",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,39,35.3370486899,"ströva","stray","gå",0,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,40,17.4759146514,"riva","grate","karva",0,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,41,2.68452355788,"snubbla","stumble","snubbla",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,42,9.69408839493,"glida","glide","glida",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,43,19.7064332301,"hoppa","skip","småhoppa",1,"unsure of correctness","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,44,3.17000186097,"vada","wade","vada",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,45,4.19286533011,"hasa","slither","",0,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,46,2.66691861552,"svassa","strut","strosa",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,47,2.83471615453,"klappa","clap","klappa",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,48,7.94979961967,"gå på tå","tiptoe","smyga",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,49,4.84729410491,"fläta","braid","",0,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,50,3.45521994424,"marschera","march","marschera",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,51,2.4152541134,"gå uppför","mount","bestiga",1,"correct but not what we chose as target","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,52,2.465837751,"traska","traipse","",0,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,53,2.01296081254,"stampa","stomp","stampa",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,54,3.18694657354,"skära","cut","klippa",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,55,4.32730644817,"lunka","plod","",0,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,56,1.96266560566,"plocka","pluck","plocka",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,57,11.5387147132,"slå in","wrap","vira in",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,58,10.4151893153,"glida","slide","glida",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,59,2.66690004532,"gå","walk","gå",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,60,11.1866616988,"dunka","dunk","dunka",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,61,2.02973760311,"knuffa","push","knuffa",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,62,3.38816296099,"fila","file","arkivera",1,"correct but not what we chose as target, and not particularly hand-related","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,63,1.8955371074,"klicka","click","klicka",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,64,1.79478588365,"kasta","throw","kasta",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,65,2.24781770546,"röra","stir","röra",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,66,3.37144978322,"tälja","carve","skära",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,67,2.46574885112,"torka","wipe","torka",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,68,5.60192727041,"hasa sig fram","scuff","",0,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,69,1.44278146789,"klättra","climb","klättra",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,70,2.33162856286,"vingla","sway","strosa",0,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,71,2.8347374905,"dra","pull","dra",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,72,2.0129967676,"gnugga","rub","gnugga",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,73,3.80747051388,"rusa","flit","",0,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,74,6.08825861726,"släpa sig fram","trudge","",0,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,75,1.96262648971,"halta","limp","halta",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,76,2.06193635006,"slå","punch","slå",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,77,1.89558886689,"springa","run","springa",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,78,1.92898756468,"jogga","jog","jogga",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,79,2.44900090362,"gräva","delve","hoppa",0,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,80,2.3986594688,"trampa","tread","gå försiktigt",1,"unsure of correctness","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,81,2.11351369078,"smälla till","slap","slå",1,"unsure if it is too vague/far apart from target","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,82,1.86201394977,"skala","peel","skala",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,83,2.98566815373,"vandra","hike","gå ",1,"unsire if it is too vague/far apart from target","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,84,2.88499437165,"binda","bind","binda",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,85,2.31472296624,"gripa","grasp","greppa",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,86,2.85156406501,"vandra","wander","irra",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,87,2.76772001832,"krypa","creep","krypa",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,88,2.14714985004,"polera","polish","polera",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,89,2.31471387869,"ströva","ramble","",0,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,90,5.6904928886,"röra sig långsamt framåt","inch","",0,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,91,2.21430324026,"dansa","dance","dansa",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,92,2.09681631743,"fånga","catch","fånga",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,93,3.38802664784,"rycka","tug","dra",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,94,2.58318322424,"tvinna","twine","nysta",1,"unsure of correctness","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,95,2.21410608008,"nypa","pinch","nypa",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,96,1.71101690797,"gripa tag i","clutch","koppla",-99,"unsure of correctness","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,97,1.87878086258,"knacka","knock","knacka",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,98,1.77816002532,"rycka till sig","snatch","ta",1,"too vague?","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,99,23.764989014,"kråma sig","prance","svassa",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,100,1.8117076798,"skrubba","scrub","skrubba",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,101,3.4720378263,"gripa tag i","grab","ta tag i",1,"","arm"
"verb_norming_oral_input","2018_Jun_14_1448",906,102,3.63989621235,"vingla","wobble","vingla",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,103,3.22045353164,"fly","flee","fly",1,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,104,16.87201894,"trava","trot","strutta",0,"","leg"
"verb_norming_oral_input","2018_Jun_14_1448",906,105,1.49287832925,"klämma","squeeze","klämma",1,"","arm"
