"expName","date","participant","trial","verb","category","rated_category","rating","verb_normed"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,122,"stray","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,123,"cut","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,123,"cut","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,124,"polish","arm","Arm",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,124,"polish","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,125,"bounce","leg","Arm",3,"june"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,125,"bounce","leg","Leg",7,"june"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,126,"tug","arm","Arm",4,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,126,"tug","arm","Leg",4,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,127,"cycle","leg","Arm",1,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,127,"cycle","leg","Leg",7,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,128,"sign","arm","Arm",7,"sept"
"verb_norming_L2eng_sept","2018_Sep_07_1244",800,128,"sign","arm","Leg",1,"sept"
"verb_norming_L2eng_sept","2018_Sep_10_1112",801,1,"step","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_10_1112",801,1,"step","leg","Arm",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_10_1112",801,2,"pat","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_10_1112",801,2,"pat","arm","Arm",5,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_10_1112",801,3,"whip","arm","Leg",1,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_10_1112",801,3,"whip","arm","Arm",3,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_10_1112",801,4,"click","arm","Leg",1,"june"
"verb_norming_L2eng_sept","2018_Sep_10_1112",801,4,"click","arm","Arm",3,"june"
"verb_norming_L2eng_sept","2018_Sep_10_1112",801,5,"run","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_10_1112",801,5,"run","leg","Arm",3,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_10_1112",801,6,"totter","leg","Leg",3,"sept"
"verb_norming_L2eng_sept","2018_Sep_10_1112",801,6,"totter","leg","Arm",3,"sept"
"verb_norming_L2eng_sept","2018_Sep_10_1112",801,7,"dance","leg","Leg",7,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_10_1112",801,7,"dance","leg","Arm",6,"june+sept"
"verb_norming_L2eng_sept","2018_Sep_10_1112",801,8,"stand","leg","Leg",7,"sept"
"verb_norming_L2eng_sept","2018_Sep_10_1112",801,8,"stand","leg","Arm",3,"sept"
